Ref,Val,Package,PosX,PosY,Rot,Side
"C415","47 uF","C_1210_3225Metric",5.362205,6.539370,180.000000,top
"C416","100 uF","C_1210_3225Metric",6.866142,6.917323,90.000000,top
"C418","4.7 uF","C_0805_2012Metric",6.708661,7.003937,90.000000,top
"C422","100 nF","C_0402_1005Metric",5.787402,7.696850,180.000000,top
"C423","100 nF","C_0402_1005Metric",0.814961,7.929134,90.000000,top
"C424","100 nF","C_0402_1005Metric",1.188976,7.928543,90.000000,top
"C425","100 nF","C_0402_1005Metric",5.562992,8.121457,-90.000000,top
"C426","100 nF","C_0402_1005Metric",5.055118,8.118110,-90.000000,top
"C427","100 nF","C_0402_1005Metric",3.614764,7.992126,0.000000,top
"C428","100 nF","C_0402_1005Metric",3.614173,8.074803,0.000000,top
"C429","100 nF","C_0402_1005Metric",5.787402,7.405512,180.000000,top
"D1","P4SMA6.8CA","D_SMA",8.018055,7.611018,-90.000000,top
"F1","2920L700/12MR-A","Fuse_2920_7451Metric",8.415055,7.604392,-90.000000,top
"FB1","100 ohm @ 100 MHz, 3A","FB_1206_3216Metric",1.146457,4.410630,180.000000,top
"FB2","100 ohm @ 100 MHz, 3A","FB_1206_3216Metric",4.262530,4.410573,180.000000,top
"FB3","100 ohm @ 100 MHz, 3A","FB_1206_3216Metric",7.377929,4.411287,180.000000,top
"FB4","100 ohm @ 100 MHz, 3A","FB_1206_3216Metric",10.494026,4.410179,180.000000,top
"L1","1 uH, 3.5 mOhm","INDPM110100X400N",1.948220,7.698759,180.000000,top
"L2","2.2 uH, 13.2 mOhm","XAL5030",4.047897,7.844759,180.000000,top
"L3","2.2 uH, 13.2 mOhm","XAL5030",5.081055,7.849759,180.000000,top
"L4","2.2 uH, 13.2 mOhm","XAL5030",6.193212,7.858759,180.000000,top
"R1","75R0","R_0402_1005Metric",0.837906,3.186268,90.000000,top
"R2","75R0","R_0402_1005Metric",0.881906,3.186268,90.000000,top
"R3","75R0","R_0402_1005Metric",0.925906,3.186268,90.000000,top
"R4","75R0","R_0402_1005Metric",0.969906,3.186268,90.000000,top
"R5","75R0","R_0402_1005Metric",0.934906,2.003457,90.000000,top
"R6","75R0","R_0402_1005Metric",0.891906,2.003457,90.000000,top
"R7","75R0","R_0402_1005Metric",0.847906,2.003457,90.000000,top
"R8","75R0","R_0402_1005Metric",0.803906,2.002362,90.000000,top
"R9","100R0","R_0402_1005Metric",6.225591,6.070472,-90.000000,top
"R10","100R0","R_0402_1005Metric",6.225591,6.169291,-90.000000,top
"R11","100R0","R_0402_1005Metric",6.225591,6.268618,-90.000000,top
"R12","100R0","R_0402_1005Metric",6.225591,6.368110,-90.000000,top
"R13","100R0","R_0402_1005Metric",6.453346,6.506693,180.000000,top
"R14","100R0","R_0402_1005Metric",6.550591,6.506693,180.000000,top
"R15","100R0","R_0402_1005Metric",6.650795,6.506693,180.000000,top
"R16","100R0","R_0402_1005Metric",6.748504,6.506693,180.000000,top
"R17","10K0","R_0402_1005Metric",6.111417,5.299606,-90.000000,top
"R18","2K0","R_0603_1608Metric",1.359906,3.532366,90.000000,top
"R19","2K0","R_0603_1608Metric",2.649906,3.797362,180.000000,top
"R20","10K0","R_0402_1005Metric",3.575984,4.302953,-90.000000,top
"R21","1K0","R_0402_1005Metric",2.974409,4.216535,180.000000,top
"R22","249K","R_0402_1005Metric",2.428055,7.979853,-90.000000,top
"R23","44K2","R_0402_1005Metric",2.469055,7.979759,90.000000,top
"R24","105K","R_0402_1005Metric",2.351055,7.904759,0.000000,top
"R25","150K","R_0402_1005Metric",2.631960,7.856759,0.000000,top
"R26","68K1","R_0402_1005Metric",2.510055,7.979853,90.000000,top
"R27","3R01","R_0402_1005Metric",2.246960,7.984759,0.000000,top
"R28","10K0","R_0402_1005Metric",2.588055,7.963664,-90.000000,top
"R29","10K0","R_0402_1005Metric",2.632149,7.897759,0.000000,top
"R30","33K2","R_0402_1005Metric",4.449937,7.715963,180.000000,top
"R31","10K0","R_0402_1005Metric",4.431055,7.654759,-90.000000,top
"R32","13K7","R_0402_1005Metric",5.492055,7.716759,180.000000,top
"R33","10K0","R_0402_1005Metric",5.473055,7.651853,-90.000000,top
"R34","3K09","R_0402_1005Metric",6.608960,7.716759,180.000000,top
"R35","10K0","R_0402_1005Metric",6.590055,7.651664,-90.000000,top
"R36","75R0","R_0402_1005Metric",1.307811,3.899362,180.000000,top
"R37","75R0","R_0402_1005Metric",1.307811,3.951803,180.000000,top
"R38","75R0","R_0402_1005Metric",1.307811,4.002362,180.000000,top
